Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	21665	-	0	0	0	0	0	0	3	1051	0	0	0	0	0	0	0	1	0	0	56	112	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-champ-activite.json	2017	5	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	22	1713	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-code-tarif-tnjp.json	4046	2	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-equipement.json	12988	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	32	75	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-prestation.json	26149	4	0	0	0	0	0	0	1	17	0	0	1	0	0	0	0	1	0	0	47	71	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-lit.json	726	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type-chambre.json	871	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1308	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-activite.json	4057	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	45	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-uf-indicateur.json	1100	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3307.json	1562	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	38	0	0	0	1	0	0
fsh-generated/resources/Organization-hopitaltest-pole-1150-med-spe.json	1257	3	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Organization-hopitaltest-uac-4420-uac-01.json	1360	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Organization-hopitaltest-uac-4420-uac-02.json	1360	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Organization-hopitaltest-uf-4420-dialyse.json	3596	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1769	2	0	10	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	26	123	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-address.json	1558	2	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	149	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point-email-type.json	1787	3	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	22	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1494	2	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	110	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-location-position-lit.json	1576	2	0	14	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	24	57	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-location-type-chambre.json	1566	3	0	16	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	56	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-location.json	2978	2	0	43	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	42	248	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-core-organization-champ-activite.json	1641	2	0	16	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-demandeuse-acte.json	1538	1	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-description.json	1402	3	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	44	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-discipline-equipement.json	1686	2	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-discipline-prestation.json	1688	2	0	6	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	24	48	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-etablissement.json	7392	2	0	94	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	97	355	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-fr-core-organization-executante-acte.json	1564	2	0	8	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	59	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-member.json	2527	2	0	8	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	31	95	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-place-hebergement-theorique.json	1635	2	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	20	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-sae-category-extension.json	2363	2	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	27	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-short-name.json	1448	2	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	52	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-tarif.json	2372	2	0	6	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	23	47	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-type-activite.json	2136	2	0	8	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	27	60	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-uac.json	2413	3	0	20	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	47	129	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-uf-externe.json	1542	2	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	43	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-uf-indicateur.json	2370	2	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	54	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-uf.json	4316	2	0	9	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	48	142	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-fr-core-organization.json	4716	2	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	44	123	0	0	0	7	0	0
fsh-generated/resources/ValueSet-fr-core-vs-categorie-sae-etablissement.json	4789	2	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	17	244	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-vs-discipline-prestation.json	678	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	1616	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-email-type.json	964	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	61	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-insee-code.json	716	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	6309	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-vs-location-position-lit.json	615	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-location-type-chambre.json	599	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	61	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-vs-location-type.json	612	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	99	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-oragnization-code-tarif-tnjp.json	653	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	322	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-oragnization-type-activite.json	666	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	250	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-champ-activite.json	722	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	71	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-discipline-equipement.json	715	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	813	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-etablissement-type.json	912	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-identifier-type.json	1872	3	0	0	0	0	0	0	0	1257	0	0	0	0	0	0	0	0	0	0	14	1491	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-type.json	1603	1	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	15	92	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-uac-type.json	754	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	34	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-uf-indicateur.json	603	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	65	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-vs-organization-uf-type.json	753	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	35	0	0	0	1	0	0
